,,,,,,
Tipo Documental Específico MinCiencias,Valor Autorizado REDCOL,Equivalente COAR,Notas,Tipos Colav,Entidad,https://redcol.readthedocs.io/es/latest/field_publicationtype.html
Artículos de revista resultado de investigación,http://purl.org/redcol/resource_type/ART,http://purl.org/coar/resource_type/c_2df8fbb1,,,works,
Notas científicas,http://purl.org/redcol/resource_type/N,http://purl.org/coar/resource_type/c_18wz,,,,
Libros resultado de investigación,http://purl.org/redcol/resource_type/LIB,http://purl.org/coar/resource_type/c_2f33,,,works,
Capítulos de libro resultado de investigación,http://purl.org/redcol/resource_type/CAP_LIB,http://purl.org/coar/resource_type/c_3248,,,works,
Patente de invención,http://purl.org/redcol/resource_type/PA,http://purl.org/coar/resource_type/c_15cd,Selecionar del Vocabulario COAR/OPENAIRE “Patente” y utilizar el siguiente elemento semántico para especificar el tipo de Patente:,,patents,
Patente de modelo de utilidad,http://purl.org/redcol/resource_type/MA,http://purl.org/coar/resource_type/c_15cd,Selecionar del Vocabulario COAR/OPENAIRE “Patente” y utilizar el siguiente elemento semántico para especificar el tipo de Patente:,,patents,
Variedad vegetal,http://purl.org/redcol/resource_type/VV,,,,,
Nueva raza animal,http://purl.org/redcol/resource_type/VA,,,,,
Poblaciones mejoradas de razas pecuarias,http://purl.org/redcol/resource_type/VA_B,,,,,
"Obras o productos de creación en artes, arquitectura y diseño",http://purl.org/redcol/resource_type/AAD,,,,,
Diseño industrial,http://purl.org/redcol/resource_type/DI,,,,,
Esquema de trazado de circuito integrado,http://purl.org/redcol/resource_type/ECI,,,,,
Software,http://purl.org/redcol/resource_type/SF,http://purl.org/coar/resource_type/c_5ce6,,,,
Planta piloto,http://purl.org/redcol/resource_type/PP,,,,,
Prototipo industrial,http://purl.org/redcol/resource_type/PI,,,,,
Signos distintivos,http://purl.org/redcol/resource_type/SD,,,,,
Productos nutraceúticos,http://purl.org/redcol/resource_type/PN,,,,,
Colección científica,http://purl.org/redcol/resource_type/CC,,,,,
Nuevo registro científico,http://purl.org/redcol/resource_type/NRC,,,,,
Secreto empresarial,http://purl.org/redcol/resource_type/SE,,,,,
Empresas de base tecnológica (Spin-off y Start-up),http://purl.org/redcol/resource_type/EBT,,,,,
Empresas creativas y culturales,http://purl.org/redcol/resource_type/ICC,,,,,
Innovación generada en la gestión empresarial,http://purl.org/redcol/resource_type/IG,,,,,
Innovación en procedimiento y servicio,http://purl.org/redcol/resource_type/IPP,,,,,
"Regulaciones, normas, reglamentos ó legislaciones",http://purl.org/redcol/resource_type/RNL,,,,,
Normatividad del espectro radioeléctrico,http://purl.org/redcol/resource_type/RNR,,,,,
Norma técnica,http://purl.org/redcol/resource_type/RNT,,,,,
Guía de práctica clínica,http://purl.org/redcol/resource_type/RNPC,,,,,
Guía de manejo clínico forense,http://purl.org/redcol/resource_type/GMCF,,,,,
Manuales y modelos de atención diferencial a víctimas,http://purl.org/redcol/resource_type/MADV,,,,,
Protocolos de atención a usuarios,http://purl.org/redcol/resource_type/PAU,,,,,
Protocolo de vigilancia epidemiológica (PVE),http://purl.org/redcol/resource_type/PVE,,,,,
Acto legislativo,http://purl.org/redcol/resource_type/AL,,,,,
Proyecto de Ley,http://purl.org/redcol/resource_type/RNPL,,,,,
Conceptos técnicos (Documentación técnica),http://purl.org/redcol/resource_type/CT,http://purl.org/coar/resource_type/c_71bd,,,,
Informe técnicos de investigación,http://purl.org/redcol/resource_type/INF,http://purl.org/coar/resource_type/c_18gh,,,,
Acuerdo de licencia para la explotación de obras protegidas por derecho de autor,http://purl.org/redcol/resource_type/MR,,,,,
Participación ciudadana en proyectos de CTI,http://purl.org/redcol/resource_type/PPC,,,,,
Espacios de participación ciudadana en CTI,http://purl.org/redcol/resource_type/EPC,,,,,
Estrategia pedagógicas para el fomento a la CTI,http://purl.org/redcol/resource_type/EPA,,,,,
Estrategia de comunicación del conocimiento,http://purl.org/redcol/resource_type/PCC,,,,,
"Generación de contenido impresos, radiales, audiovisuales,multimedia, virtuales y Creative Commons",http://purl.org/redcol/resource_type/GC,"http://purl.org/coar/resource_type/c_18cd
http://purl.org/coar/resource_type/c_e9a0","Aplica para composición musical
Aplica para recurso interactivo",,,
Evento científico,http://purl.org/redcol/resource_type/EC,,,,,
Red de conocimiento especializado,http://purl.org/redcol/resource_type/RC,,,,,
Taller de creación,http://purl.org/redcol/resource_type/TC,,,,,
Eventos culturales y artísticos,http://purl.org/redcol/resource_type/ECA,,,,,
Documento de trabajo,http://purl.org/redcol/resource_type/WP,http://purl.org/coar/resource_type/c_8042,,,,
Nueva secuencia genética,http://purl.org/redcol/resource_type/NSG,,,,,
Boletín divulgativo de resultado de investigación,http://purl.org/redcol/resource_type/BOL,,,,,
Edición de revista científica o de libros resultado de investigación,http://purl.org/redcol/resource_type/ERL,,,,,
Informe final de investigación,http://purl.org/redcol/resource_type/IFI,http://purl.org/coar/resource_type/c_18ws,,,,
Consultoría científicas - tecnologías,http://purl.org/redcol/resource_type/CON_CT,,,,,
"Consultoría de procesos en investigación-creación en arte, arquitectura y diseño",http://purl.org/redcol/resource_type/CON_AAD,,,,,
Dirección de tesis de doctorado,http://purl.org/redcol/resource_type/TD,http://purl.org/coar/resource_type/c_db06,,,,
Dirección de trabajo de grado de maestría,http://purl.org/redcol/resource_type/TM,http://purl.org/coar/resource_type/c_bdcc,,,,
Dirección de trabajos de grado de pregrado,http://purl.org/redcol/resource_type/TP,http://purl.org/coar/resource_type/c_7a1f,Aplica exclusivamente para trabajos de grado con énfasis Investigativo,,,
Proyecto de investigación y desarrollo,http://purl.org/redcol/resource_type/PID,,,,,
Proyecto de investigación - creación,http://purl.org/redcol/resource_type/PIC,,,,,
Proyecto de extensión y responsabilidad social en CTI,http://purl.org/redcol/resource_type/PE,,,,,
Apoyo creación de cursos,http://purl.org/redcol/resource_type/AP,,,,,
Asesoría al programa Ondas,http://purl.org/redcol/resource_type/APO,,,,,
